course,preUni,totalCount,mean,min,max,mode,modeCount
UP6142003 BACELOR SAINS KIMIA DENGAN PENDIDIKAN (KEPUJIAN),大学预科班 (MATRIKULASI),1,4.0,4.0,4.0,4.0,1
UP6142003 BACELOR SAINS KIMIA DENGAN PENDIDIKAN (KEPUJIAN),大马高等教育文凭 (STPM),1,3.5,3.5,3.5,3.5,1
UP6142004 BACELOR SAINS MATEMATIK DENGAN PENDIDIKAN (KEPUJIAN),大马高等教育文凭 (STPM),2,3.375,3.25,3.5,[3.25 3.5 ],1
UP6145001 BACELOR PENDIDIKAN DALAM PENDIDIKAN JASMANI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.69,3.69,3.69,3.69,1
UP6145004 BACELOR PENDIDIKAN PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),1,4.0,4.0,4.0,4.0,1
UP6145004 BACELOR PENDIDIKAN PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.08,3.08,3.08,3.08,1
UP6212001 BACELOR MUZIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),7,2.739,2.17,4.0,2.17,2
UP6212001 BACELOR MUZIK DENGAN KEPUJIAN,文凭(DIPLOMA),1,3.75,3.75,3.75,3.75,1
UP6214001 BACELOR REKA BENTUK (REKA BENTUK PERINDUSTRIAN) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),7,2.823,2.25,3.67,[2.25 2.33 2.42 2.92 3.   3.17 3.67],1
UP6222001 BACELOR SASTERA BAHASA DAN LINGUISTIK MELAYU DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2,3.83,3.83,3.83,3.83,2
UP6224001 BACELOR SASTERA BAHASA DAN LINGUISTIK INGGERIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,3.58,3.08,3.83,3.83,2
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),19,2.988,2.58,3.42,3.0,4
UP6224004 BACELOR SASTERA KESUSASTERAAN INGGERIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.5,3.5,3.5,3.5,1
UP6224005 BACELOR SASTERA PENGAJIAN BAHASA PERANCIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2,3.005,2.92,3.09,[2.92 3.09],1
UP6224006 BACELOR SASTERA PENGAJIAN BAHASA JERMAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.42,3.42,3.42,3.42,1
UP6312001 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,3.473,3.0,3.75,[3.   3.67 3.75],1
UP6314001 BACELOR EKONOMI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),17,3.871,3.5,4.0,3.92,9
