0,BACELOR EKONOMI DENGAN KEPUJIAN,19,21,90.48
1,BACELOR KAUNSELING DENGAN KEPUJIAN,3,3,100
2,BACELOR KEJURURAWATAN DENGAN KEPUJIAN,2,3,66.67
3,BACELOR KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,3,3,100
4,BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,5,5,100
5,BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,4,7,57.14
6,BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,8,10,80
7,BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,4,5,80
8,BACELOR KEJURUTERAAN PERISIAN DENGAN KEPUJIAN,12,12,100
9,BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,8,10,80
10,BACELOR KEJURUTERAAN SISTEM KOMPUTER DAN KOMUNIKASI DENGAN KEPUJIAN,2,2,100
11,BACELOR KOMUNIKASI DENGAN KEPUJIAN,12,15,80
12,BACELOR MUZIK DENGAN KEPUJIAN,8,11,72.73
13,BACELOR PENDIDIKAN DALAM PENDIDIKAN JASMANI DENGAN KEPUJIAN,1,5,20
14,BACELOR PENDIDIKAN PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA DENGAN KEPUJIAN,2,3,66.67
15,BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,8,8,100
16,BACELOR PENGURUSAN ALAM SEKITAR DENGAN KEPUJIAN,1,3,33.33
17,BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,33,35,94.29
18,BACELOR PERAKAUNAN (KEPUJIAN),20,20,100
19,BACELOR PERTANIAN SAINS TERNAKAN DENGAN KEPUJIAN,1,2,50
20,BACELOR REKA BENTUK (REKA BENTUK PERINDUSTRIAN) DENGAN KEPUJIAN,8,33,24.24
21,"BACELOR SAINS AKUAKULTUR DENGAN KEPUJIAN (KAMPUS SERDANG, SELANGOR)",2,3,66.67
22,"BACELOR SAINS BIOINDUSTRI (KAMPUS BINTULU, SARAWAK)",2,5,40
23,BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,4,6,66.67
24,BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,5,6,83.33
25,BACELOR SAINS BIOLOGI SEL DAN MOLEKUL DENGAN KEPUJIAN,4,6,66.67
26,BACELOR SAINS BIOPERUBATAN DENGAN KEPUJIAN,16,21,76.19
27,BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,7,9,77.78
28,BACELOR SAINS DALAM SAINS BAHAN DENGAN KEPUJIAN,3,3,100
29,BACELOR SAINS DALAM SAINS INSTRUMENTASI DENGAN KEPUJIAN,1,2,50
30,BACELOR SAINS DAN TEKNOLOGI ALAM SEKITAR DENGAN KEPUJIAN,6,14,42.86
31,BACELOR SAINS DAN TEKNOLOGI KAYU DENGAN KEPUJIAN,3,3,100
32,BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,8,11,72.73
33,BACELOR SAINS DIETETIK DENGAN KEPUJIAN,9,10,90
34,BACELOR SAINS HORTIKULTUR DENGAN KEPUJIAN,1,2,50
35,BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,4,5,80
36,BACELOR SAINS KIMIA DENGAN PENDIDIKAN (KEPUJIAN),2,3,66.67
37,BACELOR SAINS KIMIA PERINDUSTRIAN DENGAN KEPUJIAN,3,2,150
38,BACELOR SAINS KIMIA PETROLEUM DENGAN KEPUJIAN,1,0,inf
39,BACELOR SAINS KOMPUTER (MULTIMEDIA) DENGAN KEPUJIAN,5,6,83.33
40,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER) DENGAN KEPUJIAN,5,5,100
41,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,6,9,66.67
42,BACELOR SAINS MATEMATIK DENGAN KEPUJIAN,1,1,100
43,BACELOR SAINS MATEMATIK DENGAN PENDIDIKAN (KEPUJIAN),2,2,100
44,BACELOR SAINS MIKROBIOLOGI DENGAN KEPUJIAN,6,8,75
45,BACELOR SAINS OPERASI PEMBUATAN MAKANAN DENGAN KEPUJIAN,2,2,100
46,BACELOR SAINS PEMAKANAN DAN KESIHATAN KOMUNITI DENGAN KEPUJIAN,15,15,100
47,BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN KEPUJIAN,3,3,100
48,"BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN PENGURUSAN (KEPUJIAN) (KAMPUS BINTULU, SARAWAK)",1,3,33.33
49,"BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN PENGURUSAN (KEPUJIAN) (KAMPUS SERDANG, SELANGOR)",1,1,100
50,BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN TEKNOLOGI MAKLUMAT (KEPUJIAN),2,3,66.67
51,BACELOR SAINS PEMBANGUNAN SUMBER MANUSIA DENGAN KEPUJIAN,1,2,50
52,BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,8,8,100
53,BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,10,10,100
54,BACELOR SAINS PENGURUSAN PERLADANGAN DENGAN KEPUJIAN,1,1,100
55,"BACELOR SAINS PERHUTANAN DENGAN KEPUJIAN (KAMPUS SERDANG, SELANGOR)",1,1,100
56,BACELOR SAINS PERNIAGAANTANI DENGAN KEPUJIAN,1,2,50
57,BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,8,5,160
58,BACELOR SAINS SENI BINA DENGAN KEPUJIAN,6,11,54.55
59,BACELOR SAINS STATISTIK DENGAN KEPUJIAN,12,13,92.31
60,BACELOR SASTERA BAHASA DAN LINGUISTIK INGGERIS DENGAN KEPUJIAN,3,4,75
61,BACELOR SASTERA BAHASA DAN LINGUISTIK MELAYU DENGAN KEPUJIAN,2,2,100
62,BACELOR SASTERA KESUSASTERAAN INGGERIS DENGAN KEPUJIAN,1,2,50
63,BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,18,20,90
64,BACELOR SASTERA PENGAJIAN BAHASA JERMAN DENGAN KEPUJIAN,1,1,100
65,BACELOR SASTERA PENGAJIAN BAHASA PERANCIS DENGAN KEPUJIAN,2,4,50
66,BACELOR SENI BINA LANDSKAP DENGAN KEPUJIAN,5,10,50
67,DOKTOR PERUBATAN,14,22,63.64
68,DOKTOR PERUBATAN VETERINAR,23,34,67.65
,Course,Total Collected,Total Chinese,回收率
